macro,file,line,type,size_i386,size_amd64
CTL_DISABLE_PORT,12.1src/sys/cam/ctl/ctl_ioctl.h,760,struct ctl_port_entry,104,112
CTL_ENABLE_PORT,12.1src/sys/cam/ctl/ctl_ioctl.h,759,struct ctl_port_entry,104,112
CTL_ERROR_INJECT,12.1src/sys/cam/ctl/ctl_ioctl.h,762,struct ctl_error_desc,328,344
CTL_ERROR_INJECT_DELETE,12.1src/sys/cam/ctl/ctl_ioctl.h,767,struct ctl_error_desc,328,344
CTL_GET_LUN_STATS,12.1src/sys/cam/ctl/ctl_ioctl.h,773,struct ctl_get_io_stats,36,56
CTL_GET_OOA,12.1src/sys/cam/ctl/ctl_ioctl.h,763,struct ctl_ooa,52,72
CTL_GET_PORT_STATS,12.1src/sys/cam/ctl/ctl_ioctl.h,774,struct ctl_get_io_stats,36,56
CTL_IO,12.1src/sys/cam/ctl/ctl_ioctl.h,758,union ctl_io,588,672
CTL_ISCSI,12.1src/sys/cam/ctl/ctl_ioctl.h,769,struct ctl_iscsi,856,864
CTL_LUN_LIST,12.1src/sys/cam/ctl/ctl_ioctl.h,766,struct ctl_lun_list,208,216
CTL_LUN_REQ,12.1src/sys/cam/ctl/ctl_ioctl.h,765,struct ctl_lun_req,328,360
CTL_PORT_LIST,12.1src/sys/cam/ctl/ctl_ioctl.h,771,struct ctl_lun_list,208,216
CTL_PORT_REQ,12.1src/sys/cam/ctl/ctl_ioctl.h,770,struct ctl_req,224,256
CTL_SET_PORT_WWNS,12.1src/sys/cam/ctl/ctl_ioctl.h,768,struct ctl_port_entry,104,112
CAMGETPASSTHRU,12.1src/sys/cam/scsi/scsi_pass.h,42,union ccb,1156,1248
CAMIOCOMMAND,12.1src/sys/cam/scsi/scsi_pass.h,41,union ccb,1156,1248
SG_IO,12.1src/sys/cam/scsi/scsi_sg.h,31,struct sg_io_hdr,64,88
DTRACEIOC_AGGDESC,12.1src/sys/cddl/contrib/opensolaris/uts/common/sys/dtrace.h,1326,dtrace_aggdesc_t *,4,8
DTRACEIOC_AGGSNAP,12.1src/sys/cddl/contrib/opensolaris/uts/common/sys/dtrace.h,1312,dtrace_bufdesc_t *,4,8
DTRACEIOC_BUFSNAP,12.1src/sys/cddl/contrib/opensolaris/uts/common/sys/dtrace.h,1302,dtrace_bufdesc_t *,4,8
DTRACEIOC_DOFGET,12.1src/sys/cddl/contrib/opensolaris/uts/common/sys/dtrace.h,1330,dof_hdr_t *,4,8
DTRACEIOC_ENABLE,12.1src/sys/cddl/contrib/opensolaris/uts/common/sys/dtrace.h,1310,dtrace_enable_io_t,8,16
VCHIQ_IOC_AWAIT_COMPLETION,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,113,VCHIQ_AWAIT_COMPLETION_T,20,32
VCHIQ_IOC_CREATE_SERVICE,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,104,VCHIQ_CREATE_SERVICE_T,28,48
VCHIQ_IOC_DEQUEUE_MESSAGE,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,115,VCHIQ_DEQUEUE_MESSAGE_T,16,24
VCHIQ_IOC_DUMP_PHYS_MEM,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,125,VCHIQ_DUMP_MEM_T,8,16
VCHIQ_IOC_GET_CONFIG,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,118,VCHIQ_GET_CONFIG_T,8,16
VCHIQ_IOC_QUEUE_BULK_RECEIVE,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,111,VCHIQ_QUEUE_BULK_TRANSFER_T,20,40
VCHIQ_IOC_QUEUE_BULK_TRANSMIT,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,109,VCHIQ_QUEUE_BULK_TRANSFER_T,20,40
VCHIQ_IOC_QUEUE_MESSAGE,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,107,VCHIQ_QUEUE_MESSAGE_T,12,16
SIOCADNAT,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,31,struct ipfobj,52,56
SIOCGNATL,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,34,struct ipfobj,52,56
SIOCGNATS,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,33,struct ipfobj,52,56
SIOCPURGENAT,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,35,struct ipfobj,52,56
SIOCRMNAT,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,32,struct ipfobj,52,56
SIOCADAFR,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,82,struct ipfobj,52,56
SIOCADIFR,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,89,struct ipfobj,52,56
SIOCAUTHR,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,99,struct ipfobj,52,56
SIOCAUTHW,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,98,struct ipfobj,52,56
SIOCFRZST,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,96,struct ipfobj,52,56
SIOCFUNCL,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,108,struct ipfunc_resolve,44,56
SIOCGENITER,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,114,struct ipfobj,52,56
SIOCGETFS,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,86,struct ipfobj,52,56
SIOCGTABL,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,115,struct ipfobj,52,56
SIOCGTQTAB,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,118,struct ipfobj,52,56
SIOCINAFR,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,92,struct ipfobj,52,56
SIOCINIFR,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,93,struct ipfobj,52,56
