macro,file,line,type,size_i386,size_amd64
CTL_DELAY_IO,sys/cam/ctl/ctl_ioctl.h,761,struct ctl_io_delay_info,20,20
CTL_DISABLE_PORT,sys/cam/ctl/ctl_ioctl.h,760,struct ctl_port_entry,104,112
CTL_ENABLE_PORT,sys/cam/ctl/ctl_ioctl.h,759,struct ctl_port_entry,104,112
CTL_ERROR_INJECT,sys/cam/ctl/ctl_ioctl.h,762,struct ctl_error_desc,328,344
CTL_ERROR_INJECT_DELETE,sys/cam/ctl/ctl_ioctl.h,767,struct ctl_error_desc,328,344
CTL_GET_LUN_STATS,sys/cam/ctl/ctl_ioctl.h,773,struct ctl_get_io_stats,36,56
CTL_GET_OOA,sys/cam/ctl/ctl_ioctl.h,763,struct ctl_ooa,52,72
CTL_GET_PORT_STATS,sys/cam/ctl/ctl_ioctl.h,774,struct ctl_get_io_stats,36,56
CTL_IO,sys/cam/ctl/ctl_ioctl.h,758,union ctl_io,588,672
CTL_ISCSI,sys/cam/ctl/ctl_ioctl.h,769,struct ctl_iscsi,856,864
CTL_LUN_LIST,sys/cam/ctl/ctl_ioctl.h,766,struct ctl_lun_list,208,216
CTL_LUN_MAP,sys/cam/ctl/ctl_ioctl.h,772,struct ctl_lun_map,12,12
CTL_LUN_REQ,sys/cam/ctl/ctl_ioctl.h,765,struct ctl_lun_req,328,360
CTL_PORT_LIST,sys/cam/ctl/ctl_ioctl.h,771,struct ctl_lun_list,208,216
CTL_PORT_REQ,sys/cam/ctl/ctl_ioctl.h,770,struct ctl_req,224,256
CTL_SET_PORT_WWNS,sys/cam/ctl/ctl_ioctl.h,768,struct ctl_port_entry,104,112
TARGIOCDEBUG,sys/cam/scsi/scsi_targetio.h,75,int,4,4
TARGIOCENABLE,sys/cam/scsi/scsi_targetio.h,69,struct ioc_enable_lun,24,24
CAMGETPASSTHRU,sys/cam/scsi/scsi_pass.h,42,union ccb,1156,1248
CAMIOCOMMAND,sys/cam/scsi/scsi_pass.h,41,union ccb,1156,1248
SG_EMULATED_HOST,sys/cam/scsi/scsi_sg.h,13,int,4,4
SG_GET_ACCESS_COUNT,sys/cam/scsi/scsi_sg.h,35,int,4,4
SG_GET_COMMAND_Q,sys/cam/scsi/scsi_sg.h,16,int,4,4
