macro,type,size,file,line
CTL_DELAY_IO,struct ctl_io_delay_info,20,12.1src/sys/cam/ctl/ctl_ioctl.h,761
CTL_DISABLE_PORT,struct ctl_port_entry,104,12.1src/sys/cam/ctl/ctl_ioctl.h,760
CTL_ENABLE_PORT,struct ctl_port_entry,104,12.1src/sys/cam/ctl/ctl_ioctl.h,759
CTL_ERROR_INJECT,struct ctl_error_desc,328,12.1src/sys/cam/ctl/ctl_ioctl.h,762
CTL_ERROR_INJECT_DELETE,struct ctl_error_desc,328,12.1src/sys/cam/ctl/ctl_ioctl.h,767
CTL_GET_LUN_STATS,struct ctl_get_io_stats,36,12.1src/sys/cam/ctl/ctl_ioctl.h,773
CTL_GET_OOA,struct ctl_ooa,52,12.1src/sys/cam/ctl/ctl_ioctl.h,763
CTL_GET_PORT_STATS,struct ctl_get_io_stats,36,12.1src/sys/cam/ctl/ctl_ioctl.h,774
CTL_IO,union ctl_io,588,12.1src/sys/cam/ctl/ctl_ioctl.h,758
CTL_ISCSI,struct ctl_iscsi,856,12.1src/sys/cam/ctl/ctl_ioctl.h,769
CTL_LUN_LIST,struct ctl_lun_list,208,12.1src/sys/cam/ctl/ctl_ioctl.h,766
CTL_LUN_MAP,struct ctl_lun_map,12,12.1src/sys/cam/ctl/ctl_ioctl.h,772
CTL_LUN_REQ,struct ctl_lun_req,328,12.1src/sys/cam/ctl/ctl_ioctl.h,765
CTL_PORT_LIST,struct ctl_lun_list,208,12.1src/sys/cam/ctl/ctl_ioctl.h,771
CTL_PORT_REQ,struct ctl_req,224,12.1src/sys/cam/ctl/ctl_ioctl.h,770
CTL_SET_PORT_WWNS,struct ctl_port_entry,104,12.1src/sys/cam/ctl/ctl_ioctl.h,768
TARGIOCDEBUG,int,4,12.1src/sys/cam/scsi/scsi_targetio.h,75
TARGIOCENABLE,struct ioc_enable_lun,24,12.1src/sys/cam/scsi/scsi_targetio.h,69
CAMGETPASSTHRU,union ccb,1156,12.1src/sys/cam/scsi/scsi_pass.h,42
CAMIOCOMMAND,union ccb,1156,12.1src/sys/cam/scsi/scsi_pass.h,41
SG_EMULATED_HOST,int,4,12.1src/sys/cam/scsi/scsi_sg.h,13
SG_GET_ACCESS_COUNT,int,4,12.1src/sys/cam/scsi/scsi_sg.h,35
SG_GET_COMMAND_Q,int,4,12.1src/sys/cam/scsi/scsi_sg.h,16
SG_GET_KEEP_ORPHAN,int,4,12.1src/sys/cam/scsi/scsi_sg.h,34
SG_GET_LOW_DMA,int,4,12.1src/sys/cam/scsi/scsi_sg.h,22
SG_GET_NUM_WAITING,int,4,12.1src/sys/cam/scsi/scsi_sg.h,25
SG_GET_PACK_ID,int,4,12.1src/sys/cam/scsi/scsi_sg.h,24
SG_GET_RESERVED_SIZE,int,4,12.1src/sys/cam/scsi/scsi_sg.h,18
SG_GET_SCSI_ID,struct sg_scsi_id,32,12.1src/sys/cam/scsi/scsi_sg.h,20
SG_GET_SG_TABLESIZE,int,4,12.1src/sys/cam/scsi/scsi_sg.h,27
SG_GET_VERSION_NUM,int,4,12.1src/sys/cam/scsi/scsi_sg.h,28
SG_IO,struct sg_io_hdr,64,12.1src/sys/cam/scsi/scsi_sg.h,31
SG_NEXT_CMD_LEN,int,4,12.1src/sys/cam/scsi/scsi_sg.h,29
SG_SCSI_RESET,int,4,12.1src/sys/cam/scsi/scsi_sg.h,30
SG_SET_COMMAND_Q,int,4,12.1src/sys/cam/scsi/scsi_sg.h,17
SG_SET_DEBUG,int,4,12.1src/sys/cam/scsi/scsi_sg.h,26
SG_SET_FORCE_LOW_DMA,int,4,12.1src/sys/cam/scsi/scsi_sg.h,21
SG_SET_FORCE_PACK_ID,int,4,12.1src/sys/cam/scsi/scsi_sg.h,23
SG_SET_KEEP_ORPHAN,int,4,12.1src/sys/cam/scsi/scsi_sg.h,33
SG_SET_RESERVED_SIZE,int,4,12.1src/sys/cam/scsi/scsi_sg.h,19
