macro,type,size,file,line
VCHIQ_IOC_AWAIT_COMPLETION,VCHIQ_AWAIT_COMPLETION_T,32,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,113
VCHIQ_IOC_CREATE_SERVICE,VCHIQ_CREATE_SERVICE_T,48,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,104
VCHIQ_IOC_DEQUEUE_MESSAGE,VCHIQ_DEQUEUE_MESSAGE_T,24,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,115
VCHIQ_IOC_DUMP_PHYS_MEM,VCHIQ_DUMP_MEM_T,16,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,125
VCHIQ_IOC_GET_CONFIG,VCHIQ_GET_CONFIG_T,16,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,118
VCHIQ_IOC_QUEUE_BULK_RECEIVE,VCHIQ_QUEUE_BULK_TRANSFER_T,40,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,111
VCHIQ_IOC_QUEUE_BULK_TRANSMIT,VCHIQ_QUEUE_BULK_TRANSFER_T,40,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,109
VCHIQ_IOC_QUEUE_MESSAGE,VCHIQ_QUEUE_MESSAGE_T,16,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,107
VCHIQ_IOC_SET_SERVICE_OPTION,VCHIQ_SET_SERVICE_OPTION_T,12,12.1src/sys/contrib/vchiq/interface/vchiq_arm/vchiq_ioctl.h,123
SIOCADNAT,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,25
SIOCADNAT,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,31
SIOCGNATL,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,28
SIOCGNATL,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,34
SIOCGNATS,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,27
SIOCGNATS,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,33
SIOCPURGENAT,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,29
SIOCPURGENAT,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,35
SIOCRMNAT,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,26
SIOCRMNAT,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_nat.h,32
SIOCADAFR,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,42
SIOCADAFR,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,82
SIOCADIFR,struct ipfobj,56,12.1src/sys/contrib/ipfilter/netinet/ip_fil.h,49
