macro,type,size,file,line
NIOCCTRL,struct nmreq_header,88,freebsd-src/sys/net/netmap.h,629
CDNR_ADD_ELEM,struct cdnr_add_element,40,freebsd-src/sys/net/altq/altq_cdnr.h,203
CDNR_ADD_FILTER,struct cdnr_add_filter,32,freebsd-src/sys/net/altq/altq_cdnr.h,200
CDNR_ADD_TBM,struct cdnr_add_tbmeter,72,freebsd-src/sys/net/altq/altq_cdnr.h,205
CDNR_ADD_TCM,struct cdnr_add_trtcm,112,freebsd-src/sys/net/altq/altq_cdnr.h,208
CDNR_ADD_TSW,struct cdnr_add_tswtcm,88,freebsd-src/sys/net/altq/altq_cdnr.h,211
CDNR_DEL_ELEM,struct cdnr_delete_element,24,freebsd-src/sys/net/altq/altq_cdnr.h,204
CDNR_DEL_FILTER,struct cdnr_delete_filter,24,freebsd-src/sys/net/altq/altq_cdnr.h,201
CDNR_DISABLE,struct cdnr_interface,16,freebsd-src/sys/net/altq/altq_cdnr.h,199
CDNR_ENABLE,struct cdnr_interface,16,freebsd-src/sys/net/altq/altq_cdnr.h,198
CDNR_GETSTATS,struct cdnr_get_stats,144,freebsd-src/sys/net/altq/altq_cdnr.h,202
CDNR_IF_ATTACH,struct cdnr_interface,16,freebsd-src/sys/net/altq/altq_cdnr.h,196
CDNR_IF_DETACH,struct cdnr_interface,16,freebsd-src/sys/net/altq/altq_cdnr.h,197
CDNR_MOD_TBM,struct cdnr_modify_tbmeter,40,freebsd-src/sys/net/altq/altq_cdnr.h,206
CDNR_MOD_TCM,struct cdnr_modify_trtcm,64,freebsd-src/sys/net/altq/altq_cdnr.h,209
CDNR_MOD_TSW,struct cdnr_modify_tswtcm,40,freebsd-src/sys/net/altq/altq_cdnr.h,212
CDNR_TBM_STATS,struct cdnr_tbmeter_stats,56,freebsd-src/sys/net/altq/altq_cdnr.h,207
CDNR_TCM_STATS,struct cdnr_tcm_stats,72,freebsd-src/sys/net/altq/altq_cdnr.h,210
SIOCGLAGG,struct lagg_reqall,80,freebsd-src/sys/net/if_lagg.h,127
SIOCGLAGGFLAGS,struct lagg_reqflags,20,freebsd-src/sys/net/if_lagg.h,135
SIOCGLAGGOPTS,struct lagg_reqopts,40,freebsd-src/sys/net/if_lagg.h,160
SIOCGLAGGPORT,struct lagg_reqport,72,freebsd-src/sys/net/if_lagg.h,109
SIOCSLAGG,struct lagg_reqall,80,freebsd-src/sys/net/if_lagg.h,128
SIOCSLAGGDELPORT,struct lagg_reqport,72,freebsd-src/sys/net/if_lagg.h,111
SIOCSLAGGHASH,struct lagg_reqflags,20,freebsd-src/sys/net/if_lagg.h,136
SIOCSLAGGOPTS,struct lagg_reqopts,40,freebsd-src/sys/net/if_lagg.h,161
SIOCSLAGGPORT,struct lagg_reqport,72,freebsd-src/sys/net/if_lagg.h,110
TUNGDEBUG,int,4,freebsd-src/sys/net/if_tun.h,39
TUNGIFHEAD,int,4,freebsd-src/sys/net/if_tun.h,47
TUNGIFINFO,struct tuninfo,8,freebsd-src/sys/net/if_tun.h,41
TUNGIFNAME,struct ifreq,32,freebsd-src/sys/net/if_tun.h,43
TUNSDEBUG,int,4,freebsd-src/sys/net/if_tun.h,38
TUNSIFHEAD,int,4,freebsd-src/sys/net/if_tun.h,46
TUNSIFINFO,struct tuninfo,8,freebsd-src/sys/net/if_tun.h,40
TUNSIFMODE,int,4,freebsd-src/sys/net/if_tun.h,44
TUNSLMODE,int,4,freebsd-src/sys/net/if_tun.h,42
SIOCGETPFSYNC,struct ifreq,32,freebsd-src/sys/net/if_pfsync.h,244
SIOCSETPFSYNC,struct ifreq,32,freebsd-src/sys/net/if_pfsync.h,243
NIOCCONFIG,struct nm_ifreq,272,freebsd-src/sys/net/netmap_legacy.h,255
NIOCGINFO,struct nmreq,60,freebsd-src/sys/net/netmap_legacy.h,253
NIOCREGIF,struct nmreq,60,freebsd-src/sys/net/netmap_legacy.h,254
GREGADDRD,struct ifreq,32,freebsd-src/sys/net/if_gre.h,166
GREGADDRS,struct ifreq,32,freebsd-src/sys/net/if_gre.h,165
GREGKEY,struct ifreq,32,freebsd-src/sys/net/if_gre.h,170
GREGOPTS,struct ifreq,32,freebsd-src/sys/net/if_gre.h,172
GREGPORT,struct ifreq,32,freebsd-src/sys/net/if_gre.h,174
GREGPROTO,struct ifreq,32,freebsd-src/sys/net/if_gre.h,168
GRESADDRD,struct ifreq,32,freebsd-src/sys/net/if_gre.h,164
GRESADDRS,struct ifreq,32,freebsd-src/sys/net/if_gre.h,163
GRESKEY,struct ifreq,32,freebsd-src/sys/net/if_gre.h,171
GRESOPTS,struct ifreq,32,freebsd-src/sys/net/if_gre.h,173
GRESPORT,struct ifreq,32,freebsd-src/sys/net/if_gre.h,175
GRESPROTO,struct ifreq,32,freebsd-src/sys/net/if_gre.h,167
TAPGVNETHDR,int,4,freebsd-src/sys/net/if_tap.h,60
TAPSVNETHDR,int,4,freebsd-src/sys/net/if_tap.h,59
BIOCFEEDBACK,u_int,4,freebsd-src/sys/net/bpf.h,147
BIOCGBLEN,u_int,4,freebsd-src/sys/net/bpf.h,124
BIOCGDIRECTION,u_int,4,freebsd-src/sys/net/bpf.h,141
BIOCGDLT,u_int,4,freebsd-src/sys/net/bpf.h,129
BIOCGDLTLIST,struct bpf_dltlist,16,freebsd-src/sys/net/bpf.h,144
BIOCGETBUFMODE,u_int,4,freebsd-src/sys/net/bpf.h,148
BIOCGETIF,struct ifreq,32,freebsd-src/sys/net/bpf.h,130
BIOCGETZMAX,size_t,8,freebsd-src/sys/net/bpf.h,150
BIOCGHDRCMPLT,u_int,4,freebsd-src/sys/net/bpf.h,139
BIOCGRSIG,u_int,4,freebsd-src/sys/net/bpf.h,137
BIOCGRTIMEOUT,struct timeval,16,freebsd-src/sys/net/bpf.h,133
BIOCGSTATS,struct bpf_stat,8,freebsd-src/sys/net/bpf.h,134
BIOCGTSTAMP,u_int,4,freebsd-src/sys/net/bpf.h,154
