macro,type,size,file,line
NIOCCTRL,struct nmreq_header,88,12.1src/sys/net/netmap.h,629
SIOCGLAGG,struct lagg_reqall,64,12.1src/sys/net/if_lagg.h,127
SIOCGLAGGFLAGS,struct lagg_reqflags,20,12.1src/sys/net/if_lagg.h,135
SIOCGLAGGOPTS,struct lagg_reqopts,40,12.1src/sys/net/if_lagg.h,158
SIOCGLAGGPORT,struct lagg_reqport,72,12.1src/sys/net/if_lagg.h,109
SIOCSLAGG,struct lagg_reqall,64,12.1src/sys/net/if_lagg.h,128
SIOCSLAGGDELPORT,struct lagg_reqport,72,12.1src/sys/net/if_lagg.h,111
SIOCSLAGGHASH,struct lagg_reqflags,20,12.1src/sys/net/if_lagg.h,136
SIOCSLAGGOPTS,struct lagg_reqopts,40,12.1src/sys/net/if_lagg.h,159
SIOCSLAGGPORT,struct lagg_reqport,72,12.1src/sys/net/if_lagg.h,110
TUNGDEBUG,int,4,12.1src/sys/net/if_tun.h,39
TUNGIFHEAD,int,4,12.1src/sys/net/if_tun.h,47
TUNGIFINFO,struct tuninfo,8,12.1src/sys/net/if_tun.h,41
TUNGIFNAME,struct ifreq,32,12.1src/sys/net/if_tun.h,43
TUNSDEBUG,int,4,12.1src/sys/net/if_tun.h,38
TUNSIFHEAD,int,4,12.1src/sys/net/if_tun.h,46
TUNSIFINFO,struct tuninfo,8,12.1src/sys/net/if_tun.h,40
TUNSIFMODE,int,4,12.1src/sys/net/if_tun.h,44
TUNSLMODE,int,4,12.1src/sys/net/if_tun.h,42
SIOCGETPFSYNC,struct ifreq,32,12.1src/sys/net/if_pfsync.h,244
SIOCSETPFSYNC,struct ifreq,32,12.1src/sys/net/if_pfsync.h,243
NIOCCONFIG,struct nm_ifreq,272,12.1src/sys/net/netmap_legacy.h,255
NIOCGINFO,struct nmreq,60,12.1src/sys/net/netmap_legacy.h,253
NIOCREGIF,struct nmreq,60,12.1src/sys/net/netmap_legacy.h,254
GREGADDRD,struct ifreq,32,12.1src/sys/net/if_gre.h,166
