macro,type,size,file,line
OSIOCAIFADDR_IN6,struct oin6_aliasreq,128,12.1src/sys/netinet6/in6_var.h,443
OSIOCGIFINFO_IN6,struct in6_ondireq,48,12.1src/sys/netinet6/in6_var.h,453
SIOCAADDRCTL_POLICY,struct in6_addrpolicy,72,12.1src/sys/netinet6/in6_var.h,489
SIOCAIFADDR_IN6,struct in6_aliasreq,136,12.1src/sys/netinet6/in6_var.h,444
SIOCAIFPREFIX_IN6,struct in6_rrenumreq,96,12.1src/sys/netinet6/in6_var.h,478
SIOCCIFPREFIX_IN6,struct in6_rrenumreq,96,12.1src/sys/netinet6/in6_var.h,480
SIOCDADDRCTL_POLICY,struct in6_addrpolicy,72,12.1src/sys/netinet6/in6_var.h,490
SIOCDIFADDR_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,442
SIOCDIFPREFIX_IN6,struct in6_prefixreq,64,12.1src/sys/netinet6/in6_var.h,477
SIOCGDEFIFACE_IN6,struct in6_ndifreq,24,12.1src/sys/netinet6/in6_var.h,467
SIOCGETMIFCNT_IN6,struct sioc_mif_req6,40,12.1src/sys/netinet6/in6_var.h,487
SIOCGETSGCNT_IN6,struct sioc_sg_req6,80,12.1src/sys/netinet6/in6_var.h,485
SIOCGIFADDR_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,428
SIOCGIFAFLAG_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,450
SIOCGIFALIFETIME_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,462
SIOCGIFDSTADDR_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,439
SIOCGIFINFO_IN6,struct in6_ndireq,72,12.1src/sys/netinet6/in6_var.h,455
SIOCGIFNETMASK_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,440
SIOCGIFPDSTADDR_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,448
SIOCGIFPREFIX_IN6,struct in6_prefixreq,64,12.1src/sys/netinet6/in6_var.h,476
SIOCGIFPSRCADDR_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,447
SIOCGIFSTAT_ICMP6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,464
SIOCGIFSTAT_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,463
SIOCGNBRINFO_IN6,struct in6_nbrinfo,56,12.1src/sys/netinet6/in6_var.h,458
SIOCGSCOPE6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,472
SIOCGSCOPE6DEF,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,473
SIOCSDEFIFACE_IN6,struct in6_ndifreq,24,12.1src/sys/netinet6/in6_var.h,466
SIOCSGIFPREFIX_IN6,struct in6_rrenumreq,96,12.1src/sys/netinet6/in6_var.h,482
SIOCSIFADDR_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,427
SIOCSIFDSTADDR_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,435
SIOCSIFINFO_FLAGS,struct in6_ndireq,72,12.1src/sys/netinet6/in6_var.h,469
SIOCSIFINFO_IN6,struct in6_ndireq,72,12.1src/sys/netinet6/in6_var.h,456
SIOCSIFNETMASK_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,436
SIOCSIFPHYADDR_IN6,struct in6_aliasreq,136,12.1src/sys/netinet6/in6_var.h,446
SIOCSIFPREFIX_IN6,struct in6_prefixreq,64,12.1src/sys/netinet6/in6_var.h,475
SIOCSNDFLUSH_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,457
SIOCSPFXFLUSH_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,459
SIOCSRTRFLUSH_IN6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,460
SIOCSSCOPE6,struct in6_ifreq,288,12.1src/sys/netinet6/in6_var.h,471
