macro,type,size,file,line
OSIOCAIFADDR,struct oifaliasreq,64,12.1src/sys/sys/sockio.h,73
SIOCADDMULTI,struct ifreq,32,12.1src/sys/sys/sockio.h,87
SIOCAIFADDR,struct ifaliasreq,68,12.1src/sys/sys/sockio.h,85
SIOCAIFGROUP,struct ifgroupreq,36,12.1src/sys/sys/sockio.h,133
SIOCATMARK,int,4,12.1src/sys/sys/sockio.h,45
SIOCDELMULTI,struct ifreq,32,12.1src/sys/sys/sockio.h,88
SIOCDIFADDR,struct ifreq,32,12.1src/sys/sys/sockio.h,72
SIOCDIFGROUP,struct ifgroupreq,36,12.1src/sys/sys/sockio.h,135
SIOCDIFPHYADDR,struct ifreq,32,12.1src/sys/sys/sockio.h,107
SIOCGDRVSPEC,struct ifdrv,28,12.1src/sys/sys/sockio.h,125
SIOCGETSGCNT,struct sioc_sg_req,20,12.1src/sys/sys/sockio.h,52
SIOCGETVIFCNT,struct sioc_vif_req,20,12.1src/sys/sys/sockio.h,51
SIOCGHIWAT,int,4,12.1src/sys/sys/sockio.h,42
SIOCGHWADDR,struct ifreq,32,12.1src/sys/sys/sockio.h,102
SIOCGI2C,struct ifreq,32,12.1src/sys/sys/sockio.h,101
SIOCGIFADDR,struct ifreq,32,12.1src/sys/sys/sockio.h,56
SIOCGIFBRDADDR,struct ifreq,32,12.1src/sys/sys/sockio.h,63
SIOCGIFCAP,struct ifreq,32,12.1src/sys/sys/sockio.h,78
SIOCGIFCONF,struct ifconf,8,12.1src/sys/sys/sockio.h,66
SIOCGIFDESCR,struct ifreq,32,12.1src/sys/sys/sockio.h,84
SIOCGIFDSTADDR,struct ifreq,32,12.1src/sys/sys/sockio.h,59
SIOCGIFFIB,struct ifreq,32,12.1src/sys/sys/sockio.h,117
SIOCGIFFLAGS,struct ifreq,32,12.1src/sys/sys/sockio.h,61
SIOCGIFGENERIC,struct ifreq,32,12.1src/sys/sys/sockio.h,97
SIOCGIFGMEMB,struct ifgroupreq,36,12.1src/sys/sys/sockio.h,136
SIOCGIFGROUP,struct ifgroupreq,36,12.1src/sys/sys/sockio.h,134
SIOCGIFINDEX,struct ifreq,32,12.1src/sys/sys/sockio.h,79
SIOCGIFMAC,struct ifreq,32,12.1src/sys/sys/sockio.h,80
SIOCGIFMEDIA,struct ifmediareq,40,12.1src/sys/sys/sockio.h,94
SIOCGIFMETRIC,struct ifreq,32,12.1src/sys/sys/sockio.h,70
SIOCGIFMTU,struct ifreq,32,12.1src/sys/sys/sockio.h,89
SIOCGIFNETMASK,struct ifreq,32,12.1src/sys/sys/sockio.h,68
SIOCGIFPDSTADDR,struct ifreq,32,12.1src/sys/sys/sockio.h,106
SIOCGIFPHYS,struct ifreq,32,12.1src/sys/sys/sockio.h,91
SIOCGIFPSRCADDR,struct ifreq,32,12.1src/sys/sys/sockio.h,105
SIOCGIFRSSHASH,struct ifrsshash,24,12.1src/sys/sys/sockio.h,140
SIOCGIFRSSKEY,struct ifrsskey,148,12.1src/sys/sys/sockio.h,139
SIOCGIFSTATUS,struct ifstat,817,12.1src/sys/sys/sockio.h,99
SIOCGIFXMEDIA,struct ifmediareq,40,12.1src/sys/sys/sockio.h,137
SIOCGLANPCP,struct ifreq,32,12.1src/sys/sys/sockio.h,143
SIOCGLOWAT,int,4,12.1src/sys/sys/sockio.h,44
SIOCGPGRP,int,4,12.1src/sys/sys/sockio.h,47
