macro,type,size,file,line
IOCTL_GNTDEV_ALLOC_GREF,struct ioctl_gntdev_alloc_gref,20,12.1src/sys/xen/gntdev.h,133
IOCTL_GNTDEV_DEALLOC_GREF,struct ioctl_gntdev_dealloc_gref,12,12.1src/sys/xen/gntdev.h,148
IOCTL_GNTDEV_GET_OFFSET_FOR_VADDR,struct ioctl_gntdev_get_offset_for_vaddr,20,12.1src/sys/xen/gntdev.h,183
IOCTL_GNTDEV_MAP_GRANT_REF,struct ioctl_gntdev_map_grant_ref,20,12.1src/sys/xen/gntdev.h,163
IOCTL_GNTDEV_SET_UNMAP_NOTIFY,struct ioctl_gntdev_unmap_notify,16,12.1src/sys/xen/gntdev.h,119
IOCTL_GNTDEV_UNMAP_GRANT_REF,struct ioctl_gntdev_unmap_grant_ref,12,12.1src/sys/xen/gntdev.h,175
IOCTL_EVTCHN_BIND_INTERDOMAIN,struct ioctl_evtchn_bind_interdomain,12,12.1src/sys/xen/evtchn.h,49
IOCTL_EVTCHN_BIND_UNBOUND_PORT,struct ioctl_evtchn_bind_unbound_port,8,12.1src/sys/xen/evtchn.h,59
IOCTL_EVTCHN_BIND_VIRQ,struct ioctl_evtchn_bind_virq,8,12.1src/sys/xen/evtchn.h,39
IOCTL_EVTCHN_NOTIFY,struct ioctl_evtchn_notify,4,12.1src/sys/xen/evtchn.h,78
IOCTL_EVTCHN_UNBIND,struct ioctl_evtchn_unbind,4,12.1src/sys/xen/evtchn.h,69
IOCTL_PRIVCMD_HYPERCALL,struct ioctl_privcmd_hypercall,28,12.1src/sys/xen/privcmd.h,54
IOCTL_PRIVCMD_MMAPBATCH,struct ioctl_privcmd_mmapbatch,20,12.1src/sys/xen/privcmd.h,56
